Comunidade,ID do Grupo,label
0,5772,I
0,15948,II
0,215986,XVIII
0,368150,XXVII
0,386272,XXVIII
0,529979,XXXV
0,621826,XLIII
0,708213,XLVII
1,22708,III
2,28509,IV
2,318005,XXIII
3,30978,V
3,41555,IX
3,73145,XII
3,181836,XIV
3,612507,XXXIX
3,613306,XL
3,618846,XLII
3,750395,XLIX
3,772884,LVIII
3,773418,LIX
3,774689,LXI
3,786227,LXIX
4,31023,VI
4,500897,XXXIV
4,595626,XXXVII
5,34123,VII
5,60132,X
5,188517,XV
5,213084,XVII
5,388031,XXX
5,464738,XXXIII
5,631708,XLIV
5,755139,LI
5,766351,LIII
5,772776,LVII
5,777576,LXIII
5,785538,LXVIII
5,787317,LXXII
5,796376,LXXIX
6,36214,VIII
7,64447,XI
7,200443,XVI
7,283504,XXI
7,331467,XXVI
7,755062,L
7,787937,LXXIV
7,790561,LXXVII
8,176899,XIII
9,235600,XIX
9,269283,XX
9,286824,XXII
9,326827,XXV
9,387971,XXIX
9,388591,XXXI
9,554001,XXXVI
9,755164,LII
9,769364,LIV
9,787635,LXXIII
9,793603,LXXVIII
10,322907,XXIV
11,464497,XXXII
11,786916,LXXI
12,596326,XXXVIII
13,613707,XLI
13,638107,XLV
13,678733,XLVI
13,746315,XLVIII
13,769950,LV
13,772154,LVI
13,790261,LXXVI
14,773436,LX
15,776901,LXII
16,778914,LXIV
17,780126,LXV
18,780322,LXVI
19,781782,LXVII
20,786882,LXX
21,788531,LXXV
22,799063,LXXX
