edge ID,source,target,color,weight
0,44,55,blue,1
1,28,35,blue,1
2,28,77,blue,1
3,35,46,blue,1
4,15,73,blue,1
5,16,67,blue,1
6,25,76,blue,1
7,4,38,blue,1
8,51,57,red,1
9,45,55,purple,1
10,16,50,blue,1
11,44,47,blue,1
12,11,48,red,1
13,13,62,blue,1
14,58,68,blue,1
15,5,33,blue,1
16,56,62,blue,1
17,10,49,red,1
18,10,25,red,1
19,46,53,blue,1
20,14,29,blue,1
21,17,46,blue,1
22,27,29,red,1
23,8,60,blue,1
24,26,27,blue,1
25,50,67,blue,1
26,29,71,blue,1
27,50,78,purple,1
28,16,29,blue,1
29,16,26,blue,1
30,29,52,purple,1
31,6,29,blue,1
32,4,8,blue,1
33,40,45,blue,1
34,16,35,blue,1
35,41,58,blue,1
36,1,17,blue,1
37,40,54,purple,1
38,24,35,blue,1
39,6,42,purple,1
40,26,46,blue,1
41,10,15,purple,1
42,29,67,blue,1
43,15,25,red,1
44,10,73,blue,1
45,20,73,blue,1
46,15,51,blue,1
47,21,51,blue,1
48,40,55,blue,1
49,6,9,blue,1
50,11,38,blue,1
51,10,76,blue,1
52,32,56,blue,1
53,16,46,blue,1
54,55,75,blue,1
55,0,58,blue,1
56,4,60,blue,1
57,28,30,blue,1
58,43,67,blue,1
59,29,34,blue,1
60,4,58,blue,1
61,1,42,blue,1
62,27,34,blue,1
63,24,46,blue,1
64,0,27,blue,1
65,43,50,blue,1
66,21,35,blue,1
67,4,58,red,2
68,27,29,blue,2
69,29,62,blue,1
70,45,55,blue,2
71,24,60,blue,1
72,18,24,blue,1
73,19,35,blue,1
74,11,38,purple,2
75,9,50,blue,1
76,49,75,blue,1
77,13,50,red,1
78,14,29,purple,2
79,42,46,blue,1
80,29,46,blue,1
81,15,73,purple,2
82,24,28,blue,1
83,35,67,blue,1
84,31,70,red,1
85,14,62,purple,1
86,40,54,blue,2
87,27,41,red,1
88,3,22,blue,1
89,35,50,blue,1
90,35,53,blue,1
91,9,29,blue,1
92,10,51,blue,1
93,10,49,blue,2
94,45,60,blue,1
95,35,43,blue,1
96,4,57,blue,1
97,10,15,red,2
98,67,71,blue,1
99,50,62,purple,1
100,1,27,blue,1
101,30,55,blue,1
102,17,42,purple,1
103,35,51,blue,1
104,10,15,blue,3
105,11,57,blue,1
106,31,70,blue,2
107,6,50,red,1
108,14,45,blue,1
109,13,60,blue,1
110,73,76,blue,1
111,17,26,blue,1
112,5,36,blue,1
113,21,29,purple,1
114,8,13,blue,1
115,16,71,blue,1
116,38,57,blue,1
117,3,22,purple,2
118,16,43,blue,1
119,20,76,blue,1
120,19,72,blue,1
121,11,57,purple,2
122,39,68,blue,1
123,6,17,purple,1
124,15,73,red,3
125,0,34,blue,1
