vertex ID,label,size,name,campus,color
0,I,10,5772,CBA,#33FF57
1,II,16,15948,CBA,#33FF57
2,III,3,22708,SVC,#FF33E9
3,IV,27,28509,SVC,#FF33E9
4,V,48,30978,BLV,#33FFC5
5,VI,19,31023,SVC,#FF33E9
6,VII,12,34123,CBA,#33FF57
7,VIII,15,36214,CAS,#FFBD33
8,IX,4,41555,RTR,#FF33A8
9,X,18,60132,CBA,#33FF57
10,XI,36,64447,CFS,#FFC533
11,XII,19,73145,BLV,#33FFC5
12,XIII,38,176899,SRS,#33FFD8
13,XIV,12,181836,CBA,#33FF57
14,XV,26,188517,CBA,#33FF57
15,XVI,25,200443,CFS,#FFC533
16,XVII,15,213084,CBA,#33FF57
17,XVIII,21,215986,CBA,#33FF57
18,XIX,11,235600,ROO,#33FFBD
19,XX,8,269283,ROO,#33FFBD
20,XXI,25,283504,CFS,#FFC533
21,XXII,4,286824,PDL,#FFE933
22,XXIII,20,318005,SVC,#FF33E9
23,XXIV,25,322907,JNA,#33B0FF
24,XXV,12,326827,VGD,#A833FF
25,XXVI,13,331467,CFS,#FFC533
26,XXVII,11,368150,CBA,#33FF57
27,XXVIII,43,386272,CBA,#33FF57
28,XXIX,22,387971,VGD,#A833FF
29,XXX,26,388031,CBA,#33FF57
30,XXXI,25,388591,CBA,#33FF57
31,XXXII,8,464497,SVC,#FF33E9
32,XXXIII,10,464738,BLV,#33FFC5
33,XXXIV,30,500897,SVC,#FF33E9
34,XXXV,13,529979,CBA,#33FF57
35,XXXVI,18,554001,VGD,#A833FF
36,XXXVII,12,595626,SVC,#FF33E9
37,XXXVIII,12,596326,CNP,#FF3385
38,XXXIX,30,612507,BLV,#33FFC5
39,XL,10,613306,CBA,#33FF57
40,XLI,15,613707,PLC,#3385FF
41,XLII,13,618846,CBA,#33FF57
42,XLIII,19,621826,CBA,#33FF57
43,XLIV,10,631708,CBA,#33FF57
44,XLV,25,638107,VGD,#A833FF
45,XLVI,28,678733,PLC,#3385FF
46,XLVII,23,708213,CBA,#33FF57
47,XLVIII,27,746315,JNA,#33B0FF
48,XLIX,12,750395,BLV,#33FFC5
49,L,24,755062,LRV,#B033FF
50,LI,20,755139,CBA,#33FF57
51,LII,29,755164,PDL,#FFE933
52,LIII,12,766351,CNP,#FF3385
53,LIV,5,769364,VGD,#A833FF
54,LV,9,769950,PLC,#3385FF
55,LVI,15,772154,PLC,#3385FF
56,LVII,18,772776,CBA,#33FF57
57,LVIII,16,772884,BLV,#33FFC5
58,LIX,20,773418,CBA,#33FF57
59,LX,9,773436,PLC,#3385FF
60,LXI,16,774689,RTR,#FF33A8
61,LXII,39,776901,BAG,#FF5733
62,LXIII,11,777576,CBA,#33FF57
63,LXIV,9,778914,CAS,#FFBD33
64,LXV,19,780126,ALF,#33FFA8
65,LXVI,15,780322,SRS,#33FFD8
66,LXVII,14,781782,PDL,#FFE933
67,LXVIII,10,785538,CBA,#33FF57
68,LXIX,7,786227,CBA,#33FF57
69,LXX,7,786882,JNA,#33B0FF
70,LXXI,12,786916,GTA,#FF336A
71,LXXII,4,787317,CBA,#33FF57
72,LXXIII,5,787635,RTR,#FF33A8
73,LXXIV,8,787937,CFS,#FFC533
74,LXXV,6,788531,SRS,#33FFD8
75,LXXVI,8,790261,RTR,#FF33A8
76,LXXVII,9,790561,CFS,#FFC533
77,LXXVIII,17,793603,SRS,#33FFD8
78,LXXIX,5,796376,CBA,#33FF57
79,LXXX,13,799063,RTR,#FF33A8
